mid,latency_ms,accepted_s1,accepted_s2,consensus_accept,reason_s1,reason_s2,is_attack,attack_type,t_verify_ms,t_fresh_ms,t_consensus_ms,t_total_ms,violated_urlcc,epoch,false_reject_freshness
188,1.6236991456795908,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0436991456795908,False,1,False
189,1.6107997053152077,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0307997053152076,False,1,False
190,1.6347393607560288,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0547393607560287,False,1,False
191,1.4010950211376119,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8210950211376118,False,1,False
192,1.5501859764887338,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.9701859764887337,False,1,False
193,1.6029974995362495,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0229974995362494,False,1,False
194,1.5928167820054768,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0128167820054768,False,1,False
195,1.42395663496122,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.84395663496122,False,1,False
196,1.3847592714640349,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8047592714640348,False,1,False
197,1.624988895958122,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.044988895958122,False,1,False
198,1.882759014184959,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.302759014184959,False,1,False
199,1.277094269701338,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.697094269701338,False,1,False
200,1.3726108032612572,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.792610803261257,False,1,False
201,1.47938119744375,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.89938119744375,False,1,False
202,1.4763165668071143,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8963165668071142,False,1,False
203,1.5815000530881274,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0015000530881273,False,1,False
204,1.5379823612095267,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.9579823612095266,False,1,False
205,1.595466949560309,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.015466949560309,False,1,False
206,1.4916317313954124,False,False,False,REJECT(sig),REJECT(sig),True,spoof,0.25,0.02,0.15,1.9116317313954123,False,1,False
207,1.8784278294574666,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.2984278294574665,False,1,False
208,1.265188292289855,False,False,False,REJECT(sig),REJECT(sig),True,replay,0.25,0.02,0.15,1.685188292289855,False,1,False
